algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
0.1,0.6,0.1,20,14,0,0,0,0,6,1,0,0
0.1,0.6,0.1,20,15,0,0,0,0,25,1,0,0
0.1,0.6,0.1,20,16,0.87,0.58,10.0,14.0,16,3,4.0,14.0
0.1,0.6,0.1,20,17,0.495,0.495,16.0,20.0,58,2,4.0,20.0
0.1,0.6,0.1,20,18,0.875,0.396666666667,17.0,21.0,52,3,4.0,21.0
0.1,0.6,0.1,20,19,0.71,0.656666666667,17.0,21.0,29,3,4.0,21.0
0.2,0.6,0.2,20,0,0,0,0,0,25,2,0,0
0.2,0.6,0.2,20,1,0.785,0.383333333333,17.0,21.0,46,3,4.0,21.0
0.2,0.6,0.2,20,2,0,0,0,0,27,3,0,0
0.2,0.6,0.2,20,3,0.775,0.455,16.0,20.0,31,4,4.0,20.0
0.2,0.6,0.2,20,4,0,0,0,0,15,2,0,0
0.2,0.6,0.2,20,5,0.69,0.69,17.0,21.0,29,1,4.0,21.0
0.2,0.6,0.2,20,6,0,0,0,0,34,3,0,0
0.2,0.6,0.2,20,7,0.705,0.42,17.0,21.0,34,2,4.0,21.0
0.2,0.6,0.2,20,8,0,0,0,0,39,4,0,0
0.2,0.6,0.2,20,9,0,0,0,0,48,2,0,0
0.2,0.6,0.2,20,10,0.6,0.6,17.0,21.0,27,1,4.0,21.0
0.2,0.6,0.2,20,11,0.55,0.55,17.0,21.0,40,2,4.0,21.0
0.2,0.6,0.2,20,12,0,0,0,0,24,2,0,0
0.2,0.6,0.2,20,13,0,0,0,0,29,4,0,0
0.2,0.6,0.2,20,14,0,0,0,0,6,1,0,0
0.2,0.6,0.2,20,15,0.43,0.43,12.0,16.0,25,1,4.0,16.0
0.2,0.6,0.2,20,16,0.835,0.556666666667,10.0,14.0,16,3,4.0,14.0
0.2,0.6,0.2,20,17,0.37,0.37,16.0,20.0,58,2,4.0,20.0
0.2,0.6,0.2,20,18,0.693333333333,0.366666666667,17.0,21.0,52,3,4.0,21.0
0.2,0.6,0.2,20,19,0.451666666667,0.38,17.0,21.0,29,3,4.0,21.0
uniform,0,0,30,0,0.49,0.17,27.0,31.0,42,3,4.0,31.0
uniform,0,0,30,1,0.56,0.13,27.0,31.0,71,5,4.0,31.0
uniform,0,0,30,2,0.15,0.1,21.0,25.0,34,3,4.0,25.0
uniform,0,0,30,3,0,0,0,0,89,4,0,0
uniform,0,0,30,4,0,0,0,0,28,3,0,0
uniform,0,0,30,5,0.05,0.05,27.0,31.0,44,1,4.0,31.0
uniform,0,0,30,6,0.656666666667,0.46,27.0,31.0,57,3,4.0,31.0
uniform,0,0,30,7,0.49,0.245,27.0,31.0,43,2,4.0,31.0
uniform,0,0,30,8,0.53,0.265,18.0,22.0,44,4,4.0,22.0
uniform,0,0,30,9,0,0,0,0,53,2,0,0
uniform,0,0,30,10,0,0,0,0,35,2,0,0
uniform,0,0,30,11,0.386666666667,0.39,27.0,31.0,56,2,4.0,31.0
uniform,0,0,30,12,0,0,0,0,24,2,0,0
uniform,0,0,30,13,0.626666666667,0.33,27.0,31.0,46,5,4.0,31.0
uniform,0,0,30,14,0.67,0.35,19.0,23.0,20,2,4.0,23.0
uniform,0,0,30,15,0.37,0.37,12.0,16.0,25,1,4.0,16.0
uniform,0,0,30,16,0.398333333333,0.286666666667,24.0,28.0,23,3,4.0,28.0
uniform,0,0,30,17,0.125,0.125,27.0,31.0,106,2,4.0,31.0
uniform,0,0,30,18,0.748333333333,0.3,18.0,22.0,56,3,4.0,22.0
uniform,0,0,30,19,0.208333333333,0.15,21.0,25.0,29,3,4.0,25.0
randomForest,0,0,30,0,0,0,0,0,42,3,0,0
randomForest,0,0,30,1,0.8,0.24,27.0,31.0,71,5,4.0,31.0
randomForest,0,0,30,2,0,0,0,0,34,3,0,0
randomForest,0,0,30,3,0,0,0,0,89,4,0,0
randomForest,0,0,30,4,0,0,0,0,28,3,0,0
randomForest,0,0,30,5,0.06,0.06,27.0,31.0,44,1,4.0,31.0
randomForest,0,0,30,6,0.2,0.133333333333,27.0,31.0,57,3,4.0,31.0
randomForest,0,0,30,7,0,0,0,0,43,2,0,0
randomForest,0,0,30,8,0,0,0,0,44,4,0,0
randomForest,0,0,30,9,0,0,0,0,53,2,0,0
randomForest,0,0,30,10,0,0,0,0,35,2,0,0
randomForest,0,0,30,11,0.735,0.735,27.0,31.0,56,2,4.0,31.0
