algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
Sanity,0.6,0.0,20,4,1.0,0,0.999776562083,0.999776562083,21,27,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
Sanity,0.6,0.0,20,5,1.0,0,0.979186259454,0.979186259454,21,54,2,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,20,6,1.0,1,0.994324423257,0.5,10,12,2,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
Sanity,0.6,0.0,20,7,0.728333333333,6,0.993873290797,0.333284889218,21,25,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
Sanity,0.6,0.0,20,8,0.791666666667,1,0.954694599663,0.498952835337,21,18,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
Sanity,0.6,0.0,20,9,0.916666666667,1,0.994733706747,0.499841315345,21,23,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
Sanity,0.6,0.0,20,10,1.0,0,0.972165997477,0.486082998738,21,16,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,20,11,0.704093567251,3,0.993213941177,0.332718434699,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
Sanity,0.6,0.0,20,12,0.588461538462,4,0.999901758506,0.499950879253,21,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
Sanity,0.6,0.0,20,13,1.0,0,0.982015016113,0.982055164855,21,49,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.0,20,14,1.0,0,0.969720972336,0.484860486168,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.0,20,15,0.600961538462,3,0.999821483405,0.499910741702,20,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.0,20,16,0.72037037037,7,0.992873159613,0.333330371996,21,30,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
Sanity,0.6,0.0,20,17,0.705182072829,12,0.996364631226,0.333249289703,21,34,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.0,20,18,0.704093567251,3,0.993268072876,0.332736568369,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
Sanity,0.6,0.1,20,0,1.0,0,0.865542386163,0.865542386163,21,58,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.1,20,1,0.6625,3,0.973699171964,0.490761063039,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,20,2,1.0,0,0.851098423856,0.851098423856,10,5,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.1,20,3,1.0,0,0.926814284405,0.926814284405,6,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
Sanity,0.6,0.1,20,4,1.0,0,0.973669986882,0.973669986882,21,27,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
Sanity,0.6,0.1,20,5,1.0,0,0.813582240301,0.813582240301,21,54,2,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,20,6,1.0,1,0.943932916531,0.5,10,12,2,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
Sanity,0.6,0.1,20,7,0.728333333333,6,0.939884977436,0.332858001636,21,25,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
Sanity,0.6,0.1,20,8,0.666666666667,1,0.697370810599,0.468195885053,21,18,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
Sanity,0.6,0.1,20,9,0.916666666667,1,0.947439902352,0.498416252081,21,23,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
Sanity,0.6,0.1,20,10,1.0,0,0.760490932216,0.380245466108,21,16,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.1,20,11,0.704093567251,3,0.933188606797,0.327279416689,21,19,3,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
Sanity,0.6,0.1,20,12,0.588461538462,4,0.997188482618,0.498594241309,21,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
Sanity,0.6,0.1,20,13,1.0,0,0.843954265588,0.847471986605,21,49,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.1,20,14,1.0,0,0.74434157955,0.372170789775,10,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.1,20,15,0.600961538462,3,0.980395213247,0.490197606624,20,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
